filename,total,evaluates,corrects,errors,accuracy,calibrated_accuracy,avg_query_tokens,avg_response_tokens,avg_query_len,avg_response_len,start_time,end_time,elapsed_minutes,args,git_branch,git_commit_id
artifacts_09251-gim-sft-tmp_sft-gim_Idavidrein_gpqa_251015-174703.json,198,198,66,4,0.3333333333333333,0.3402061855670103,363.3939393939394,548.6082474226804,1192.1060606060605,1890.4949494949494,2025-10-15T17:47:03.637007,2025-10-15T17:49:43.891613,2.6709101,"{'model_name': 'artifacts/09251-gim-sft-tmp/sft-gim', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'is_gim': True, 'reason_budget': 2, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 198, 'num_proc': 40, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'dataset': {'path': 'Idavidrein/gpqa', 'name': 'gpqa_diamond', 'split': 'train'}}",main,7112dd51e24b58ca68620d64742e70d2bc75a7ea
artifacts_09251-gim-sft-tmp_sft-gim_Idavidrein_gpqa_251015-174957.json,198,198,63,7,0.3181818181818182,0.3298429319371728,419.3939393939394,699.2670157068063,1342.1060606060605,2350.3333333333335,2025-10-15T17:49:57.861558,2025-10-15T17:53:19.663403,3.363364083333333,"{'model_name': 'artifacts/09251-gim-sft-tmp/sft-gim', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'is_gim': True, 'reason_budget': 4, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 198, 'num_proc': 40, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'dataset': {'path': 'Idavidrein/gpqa', 'name': 'gpqa_diamond', 'split': 'train'}}",main,7112dd51e24b58ca68620d64742e70d2bc75a7ea
artifacts_09251-gim-sft-tmp_sft-gim_Idavidrein_gpqa_251015-175330.json,198,198,63,1,0.3181818181818182,0.3197969543147208,475.3939393939394,874.8781725888325,1492.1060606060605,3013.419191919192,2025-10-15T17:53:30.573809,2025-10-15T17:56:29.535684,2.9826979166666665,"{'model_name': 'artifacts/09251-gim-sft-tmp/sft-gim', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'is_gim': True, 'reason_budget': 6, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 198, 'num_proc': 40, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'dataset': {'path': 'Idavidrein/gpqa', 'name': 'gpqa_diamond', 'split': 'train'}}",main,7112dd51e24b58ca68620d64742e70d2bc75a7ea
artifacts_09251-gim-sft-tmp_sft-gim_Idavidrein_gpqa_251015-175641.json,198,198,60,9,0.30303030303030304,0.31746031746031744,531.3888888888889,1010.3968253968254,1642.1060606060605,3433.3030303030305,2025-10-15T17:56:41.097919,2025-10-15T18:01:07.089558,4.433193983333334,"{'model_name': 'artifacts/09251-gim-sft-tmp/sft-gim', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'is_gim': True, 'reason_budget': 8, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 198, 'num_proc': 40, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'dataset': {'path': 'Idavidrein/gpqa', 'name': 'gpqa_diamond', 'split': 'train'}}",main,7112dd51e24b58ca68620d64742e70d2bc75a7ea
artifacts_09251-gim-sft-tmp_sft-gim_Idavidrein_gpqa_251015-180117.json,198,198,68,6,0.3434343434343434,0.3541666666666667,588.3888888888889,1091.2447916666667,1793.1060606060605,3774.2626262626263,2025-10-15T18:01:17.579962,2025-10-15T18:05:18.177247,4.00995475,"{'model_name': 'artifacts/09251-gim-sft-tmp/sft-gim', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'is_gim': True, 'reason_budget': 10, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 198, 'num_proc': 40, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'dataset': {'path': 'Idavidrein/gpqa', 'name': 'gpqa_diamond', 'split': 'train'}}",main,7112dd51e24b58ca68620d64742e70d2bc75a7ea
artifacts_09251-gim-sft-tmp_sft-gim_Idavidrein_gpqa_251015-180529.json,198,198,71,7,0.35858585858585856,0.3717277486910995,646.39898989899,1260.130890052356,1945.1060606060605,4355.924242424242,2025-10-15T18:05:29.593071,2025-10-15T18:10:32.193185,5.043335233333334,"{'model_name': 'artifacts/09251-gim-sft-tmp/sft-gim', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'is_gim': True, 'reason_budget': 12, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 198, 'num_proc': 40, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'dataset': {'path': 'Idavidrein/gpqa', 'name': 'gpqa_diamond', 'split': 'train'}}",main,7112dd51e24b58ca68620d64742e70d2bc75a7ea
artifacts_09251-gim-sft-tmp_sft-gim_Idavidrein_gpqa_251015-181044.json,198,198,59,10,0.29797979797979796,0.31382978723404253,704.3939393939394,1385.7712765957447,2097.1060606060605,4774.323232323232,2025-10-15T18:10:44.486526,2025-10-15T18:16:43.969687,5.991386016666667,"{'model_name': 'artifacts/09251-gim-sft-tmp/sft-gim', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'is_gim': True, 'reason_budget': 14, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 198, 'num_proc': 40, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'dataset': {'path': 'Idavidrein/gpqa', 'name': 'gpqa_diamond', 'split': 'train'}}",main,7112dd51e24b58ca68620d64742e70d2bc75a7ea
artifacts_09251-gim-sft-tmp_sft-gim_Idavidrein_gpqa_251015-181702.json,198,198,63,10,0.3181818181818182,0.3351063829787234,762.3939393939394,1434.7446808510638,2249.1060606060605,4981.580808080808,2025-10-15T18:17:02.925024,2025-10-15T18:23:32.910997,6.499766216666667,"{'model_name': 'artifacts/09251-gim-sft-tmp/sft-gim', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'is_gim': True, 'reason_budget': 16, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 198, 'num_proc': 40, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'dataset': {'path': 'Idavidrein/gpqa', 'name': 'gpqa_diamond', 'split': 'train'}}",main,7112dd51e24b58ca68620d64742e70d2bc75a7ea
artifacts_09251-gim-sft-tmp_sft-gim_Idavidrein_gpqa_251015-182355.json,198,198,84,7,0.42424242424242425,0.4397905759162304,820.3939393939394,1513.8010471204188,2401.1060606060605,5407.838383838384,2025-10-15T18:23:55.150325,2025-10-15T18:30:21.388589,6.4373044,"{'model_name': 'artifacts/09251-gim-sft-tmp/sft-gim', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'is_gim': True, 'reason_budget': 18, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 198, 'num_proc': 40, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'dataset': {'path': 'Idavidrein/gpqa', 'name': 'gpqa_diamond', 'split': 'train'}}",main,7112dd51e24b58ca68620d64742e70d2bc75a7ea
artifacts_09251-gim-sft-tmp_sft-gim_TIGER-Lab_MMLU-Pro_251015-183033.json,1000,1000,473,20,0.473,0.4826530612244898,363.437,474.37551020408165,1249.01,1707.85,2025-10-15T18:30:33.533254,2025-10-15T18:37:31.788116,6.970914366666666,"{'model_name': 'artifacts/09251-gim-sft-tmp/sft-gim', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'is_gim': True, 'reason_budget': 2, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 1000, 'num_proc': 40, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'dataset': {'path': 'TIGER-Lab/MMLU-Pro', 'name': None, 'split': 'test'}}",main,7112dd51e24b58ca68620d64742e70d2bc75a7ea
artifacts_09251-gim-sft-tmp_sft-gim_TIGER-Lab_MMLU-Pro_251015-183744.json,1000,1000,497,18,0.497,0.5061099796334012,419.434,577.3309572301425,1399.01,2105.365,2025-10-15T18:37:44.153629,2025-10-15T18:45:40.462669,7.938484,"{'model_name': 'artifacts/09251-gim-sft-tmp/sft-gim', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'is_gim': True, 'reason_budget': 4, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 1000, 'num_proc': 40, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'dataset': {'path': 'TIGER-Lab/MMLU-Pro', 'name': None, 'split': 'test'}}",main,7112dd51e24b58ca68620d64742e70d2bc75a7ea
