filename,evaluator_type,total,evaluates,corrects,errors,accuracy,calibrated_accuracy,avg_query_tokens,avg_response_tokens,avg_query_len,avg_response_len,start_time,end_time,elapsed_minutes,args,git_branch,git_commit_id
Qwen_Qwen3-235B-A22B-Instruct-2507_openlifescienceai_medmcqa_251027-115415.json,mcqa,1000,1000,633,164,0.633,0.757177033492823,371.152,542.0944976076555,1206.628,2036.42,2025-10-27T11:54:15.176540,2025-10-27T14:10:30.992088,136.26359246666667,"{'model_name': 'Qwen/Qwen3-235B-A22B-Instruct-2507', 'api_key': '****', 'base_url': 'https://api.siliconflow.cn/v1', 'is_gim': False, 'use_gim_prompt': True, 'reason_budget': 8, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 1000, 'num_proc': 10, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'dataset': {'path': 'openlifescienceai/medmcqa', 'name': None, 'split': 'validation'}}",feat/gim-prompt,50be3faf4844003ce44eb6e2e2ebcfe06cbef63a
Qwen_Qwen3-30B-A3B-Instruct-2507_Idavidrein_gpqa_251031-155228.json,mcqa,198,198,114,12,0.5757575757575758,0.6129032258064516,704.39898989899,1347.3870967741937,2097.1060606060605,4296.611111111111,2025-10-31T15:52:28.328172,2025-10-31T16:10:08.837450,17.67515463333333,"{'model_name': 'Qwen/Qwen3-30B-A3B-Instruct-2507', 'api_key': '****', 'base_url': 'https://api.siliconflow.cn/v1', 'is_gim': False, 'use_gim_prompt': True, 'reason_budget': 14, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 198, 'num_proc': 10, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'dataset': {'path': 'Idavidrein/gpqa', 'name': 'gpqa_diamond', 'split': 'train'}}",feat/gim-prompt,f6bb8f288fef57040a9815940912b2875c401eeb
Qwen_Qwen3-235B-A22B-Instruct-2507_allenai_qasc_251029-132643.json,mcqa,920,920,458,416,0.49782608695652175,0.9087301587301587,666.354347826087,969.1825396825396,1955.5152173913043,2416.825,2025-10-29T13:26:43.504776,2025-10-29T15:56:56.794052,150.22148793333332,"{'model_name': 'Qwen/Qwen3-235B-A22B-Instruct-2507', 'api_key': '****', 'base_url': 'https://api.siliconflow.cn/v1', 'is_gim': False, 'use_gim_prompt': True, 'reason_budget': 18, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 920, 'num_proc': 10, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'dataset': {'path': 'allenai/qasc', 'name': None, 'split': 'validation'}}",feat/gim-prompt,50be3faf4844003ce44eb6e2e2ebcfe06cbef63a
Qwen_Qwen3-30B-A3B-Instruct-2507_allenai_qasc_251101-124621.json,mcqa,920,920,799,11,0.8684782608695653,0.878987898789879,209.35543478260868,282.3685368536854,746.5152173913043,1288.1402173913043,2025-11-01T12:46:21.463661,2025-11-01T12:59:50.149719,13.478100966666666,"{'model_name': 'Qwen/Qwen3-30B-A3B-Instruct-2507', 'api_key': '****', 'base_url': 'https://api.siliconflow.cn/v1', 'is_gim': False, 'use_gim_prompt': True, 'reason_budget': 2, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 920, 'num_proc': 10, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'dataset': {'path': 'allenai/qasc', 'name': None, 'split': 'validation'}}",feat/gim-prompt,dd2c234622feb25a94b0c80e63c86814f8731e27
Qwen_Qwen3-235B-A22B-Instruct-2507_allenai_qasc_251029-040658.json,mcqa,920,920,795,44,0.8641304347826086,0.9075342465753424,209.35434782608695,243.81278538812785,746.5152173913043,1064.354347826087,2025-10-29T04:06:58.322756,2025-10-29T04:53:53.573562,46.92084676666666,"{'model_name': 'Qwen/Qwen3-235B-A22B-Instruct-2507', 'api_key': '****', 'base_url': 'https://api.siliconflow.cn/v1', 'is_gim': False, 'use_gim_prompt': True, 'reason_budget': 2, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 920, 'num_proc': 10, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'dataset': {'path': 'allenai/qasc', 'name': None, 'split': 'validation'}}",feat/gim-prompt,50be3faf4844003ce44eb6e2e2ebcfe06cbef63a
Qwen_Qwen3-30B-A3B-Instruct-2507_allenai_qasc_251101-130000.json,mcqa,920,920,800,8,0.8695652173913043,0.8771929824561403,265.35434782608695,389.34758771929825,896.5152173913043,1785.1695652173912,2025-11-01T13:00:00.874658,2025-11-01T13:26:15.527691,26.244217216666666,"{'model_name': 'Qwen/Qwen3-30B-A3B-Instruct-2507', 'api_key': '****', 'base_url': 'https://api.siliconflow.cn/v1', 'is_gim': False, 'use_gim_prompt': True, 'reason_budget': 4, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 920, 'num_proc': 10, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'dataset': {'path': 'allenai/qasc', 'name': None, 'split': 'validation'}}",feat/gim-prompt,dd2c234622feb25a94b0c80e63c86814f8731e27
Qwen_Qwen3-30B-A3B-Instruct-2507_TIGER-Lab_MMLU-Pro_251101-030432.json,mcqa,1000,1000,691,35,0.691,0.7160621761658031,762.435,1170.8922279792746,2306.01,3908.523,2025-11-01T03:04:32.508789,2025-11-01T04:18:57.594216,74.41809045,"{'model_name': 'Qwen/Qwen3-30B-A3B-Instruct-2507', 'api_key': '****', 'base_url': 'https://api.siliconflow.cn/v1', 'is_gim': False, 'use_gim_prompt': True, 'reason_budget': 16, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 1000, 'num_proc': 10, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'dataset': {'path': 'TIGER-Lab/MMLU-Pro', 'name': None, 'split': 'test'}}",feat/gim-prompt,f6bb8f288fef57040a9815940912b2875c401eeb
Qwen_Qwen3-30B-A3B-Instruct-2507_openlifescienceai_medmcqa_251031-180848.json,mcqa,1000,1000,680,4,0.68,0.6827309236947792,371.152,577.4588353413654,1206.628,2643.755,2025-10-31T18:08:48.193236,2025-10-31T18:35:16.542735,26.47249165,"{'model_name': 'Qwen/Qwen3-30B-A3B-Instruct-2507', 'api_key': '****', 'base_url': 'https://api.siliconflow.cn/v1', 'is_gim': False, 'use_gim_prompt': True, 'reason_budget': 8, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 1000, 'num_proc': 10, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'dataset': {'path': 'openlifescienceai/medmcqa', 'name': None, 'split': 'validation'}}",feat/gim-prompt,f6bb8f288fef57040a9815940912b2875c401eeb
Qwen_Qwen3-235B-A22B-Instruct-2507_allenai_qasc_251029-081853.json,mcqa,920,920,671,172,0.7293478260869565,0.8970588235294118,434.35434782608695,592.0427807486631,1347.5152173913043,2202.304347826087,2025-10-29T08:18:53.760155,2025-10-29T09:41:59.897851,83.10229493333333,"{'model_name': 'Qwen/Qwen3-235B-A22B-Instruct-2507', 'api_key': '****', 'base_url': 'https://api.siliconflow.cn/v1', 'is_gim': False, 'use_gim_prompt': True, 'reason_budget': 10, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 920, 'num_proc': 10, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'dataset': {'path': 'allenai/qasc', 'name': None, 'split': 'validation'}}",feat/gim-prompt,50be3faf4844003ce44eb6e2e2ebcfe06cbef63a
Qwen_Qwen3-235B-A22B-Instruct-2507_Idavidrein_gpqa_251027-002717.json,mcqa,198,198,89,66,0.4494949494949495,0.6742424242424242,704.3939393939394,1262.2575757575758,2097.1060606060605,2811.6363636363635,2025-10-27T00:27:17.774438,2025-10-27T01:31:55.391063,64.62694375,"{'model_name': 'Qwen/Qwen3-235B-A22B-Instruct-2507', 'api_key': '****', 'base_url': 'https://api.siliconflow.cn/v1', 'is_gim': False, 'use_gim_prompt': True, 'reason_budget': 14, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 198, 'num_proc': 10, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'dataset': {'path': 'Idavidrein/gpqa', 'name': 'gpqa_diamond', 'split': 'train'}}",feat/gim-prompt,50be3faf4844003ce44eb6e2e2ebcfe06cbef63a
